,end station id,end station name,end station latitude,end station longitude
12944,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12944,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12945,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12945,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12945,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12946,3193,Lincoln Park,40.7246050998869,-74.07840594649316
12946,3193,Lincoln Park,40.7246050998869,-74.07840594649316
12946,3193,Lincoln Park,40.7246050998869,-74.07840594649316
12947,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12947,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
